timestamp,energy_pv,power_consumed_kwh,energy_hotwater
2017-06-01 00:00:00,0.0,978.0,939.0
2017-06-01 00:15:00,0.0,993.0,943.0
2017-06-01 00:30:00,0.0,651.0,607.0
2017-06-01 00:45:00,-0.0,55.0,1.0
2017-06-01 01:00:00,-0.0,35.0,1.0
2017-06-01 01:15:00,-0.0,40.0,1.0
2017-06-01 01:30:00,-0.0,59.0,1.0
2017-06-01 01:45:00,-0.0,47.0,1.0
2017-06-01 02:00:00,-0.0,33.0,1.0
2017-06-01 02:15:00,-0.0,33.0,1.0
2017-06-01 02:30:00,-0.0,59.0,1.0
2017-06-01 02:45:00,-0.0,49.0,1.0
2017-06-01 03:00:00,-0.0,31.0,1.0
2017-06-01 03:15:00,-0.0,31.0,1.0
2017-06-01 03:30:00,-0.0,183.0,1.0
2017-06-01 03:45:00,-0.0,87.0,1.0
2017-06-01 04:00:00,-0.0,283.0,250.0
2017-06-01 04:15:00,0.0,963.0,931.0
2017-06-01 04:30:00,0.0,513.0,464.0
2017-06-01 04:45:00,-0.0,42.0,1.0
2017-06-01 05:00:00,-0.0,43.0,1.0
2017-06-01 05:15:00,-0.0,32.0,1.0
2017-06-01 05:30:00,-0.0,53.0,1.0
2017-06-01 05:45:00,-0.0,140.0,1.0
2017-06-01 06:00:00,-0.0,49.0,1.0
2017-06-01 06:15:00,-0.0,38.0,1.0
2017-06-01 06:30:00,-0.0,52.0,1.0
2017-06-01 06:45:00,-0.0,32.0,1.0
2017-06-01 07:00:00,-0.0,170.0,1.0
2017-06-01 07:15:00,7.0,115.0,1.0
2017-06-01 07:30:00,17.0,90.0,1.0
2017-06-01 07:45:00,21.0,92.0,1.0
2017-06-01 08:00:00,56.0,275.0,1.0
2017-06-01 08:15:00,201.0,763.0,1.0
2017-06-01 08:30:00,233.0,622.0,1.0
2017-06-01 08:45:00,256.0,227.0,1.0
2017-06-01 09:00:00,277.0,67.0,1.0
2017-06-01 09:15:00,295.0,34.0,1.0
2017-06-01 09:30:00,282.0,69.0,1.0
2017-06-01 09:45:00,235.0,40.0,1.0
2017-06-01 10:00:00,194.0,19.0,1.0
2017-06-01 10:15:00,91.0,19.0,1.0
2017-06-01 10:30:00,25.0,33.0,1.0
2017-06-01 10:45:00,24.0,46.0,1.0
2017-06-01 11:00:00,24.0,26.0,1.0
2017-06-01 11:15:00,25.0,18.0,1.0
2017-06-01 11:30:00,24.0,25.0,1.0
2017-06-01 11:45:00,23.0,39.0,1.0
2017-06-01 12:00:00,24.0,41.0,1.0
2017-06-01 12:15:00,25.0,18.0,1.0
2017-06-01 12:30:00,26.0,18.0,1.0
2017-06-01 12:45:00,69.0,33.0,1.0
2017-06-01 13:00:00,213.0,44.0,1.0
2017-06-01 13:15:00,251.0,29.0,1.0
2017-06-01 13:30:00,276.0,18.0,1.0
2017-06-01 13:45:00,262.0,25.0,1.0
2017-06-01 14:00:00,241.0,36.0,1.0
2017-06-01 14:15:00,220.0,46.0,1.0
